seed,octaves,frequency,sea_level,erosion_rate,deposition_rate,evaporation,inertia,capacity,droplet_life,erosion_iters,wind_angle,wind_strength,height_retention,elevation_variance,max_ridge_height,river_density,slope_variance,land_fraction
2783,6,2.54,0.27,0.061,0.694,0.0112,0.137,5.8,65,50000,140.8,1.42,0.7720,0.1414,0.5683,0.0131,0.0292,0.2275
1147,5,1.54,0.21,0.044,0.438,0.0262,0.330,7.3,17,10000,239.1,0.53,0.9553,0.1685,0.4869,0.0084,0.0224,0.4375
5338,7,1.76,0.31,0.059,0.508,0.0082,0.111,5.9,77,50000,36.0,1.54,0.7667,0.1523,0.3575,0.0132,0.0299,0.1752
309,4,3.59,0.24,0.073,0.568,0.0035,0.307,6.1,62,50000,170.0,1.12,0.7143,0.1318,0.4035,0.0189,0.0170,0.2195
7741,5,5.31,0.31,0.289,0.517,0.0090,0.359,3.2,34,100000,106.6,0.96,0.5949,0.1136,0.1193,0.0007,0.0070,0.0870
8086,5,2.22,0.33,0.175,0.737,0.0145,0.260,4.2,41,200000,141.5,1.63,0.3509,0.0819,0.1068,0.0000,0.0096,0.0077
9961,7,2.62,0.44,0.101,0.515,0.0396,0.300,6.7,70,50000,121.4,0.98,0.8027,0.1397,0.2028,0.0000,0.0153,0.0270
5038,5,2.99,0.41,0.376,0.258,0.0347,0.186,7.0,56,50000,240.8,0.95,0.7136,0.1219,0.1988,0.0000,0.0122,0.0235
5616,4,3.82,0.30,0.373,0.491,0.0258,0.297,5.2,30,10000,258.3,1.26,0.9350,0.1568,0.3894,0.0032,0.0216,0.2629
7028,5,4.80,0.20,0.237,0.690,0.0051,0.064,3.8,69,50000,123.3,1.61,0.7609,0.1336,0.5186,0.0231,0.0210,0.3221
1668,7,3.00,0.24,0.139,0.528,0.0214,0.330,1.2,72,200000,89.9,1.23,0.6010,0.1400,0.4133,0.0196,0.0185,0.2237
7780,6,3.26,0.47,0.112,0.559,0.0095,0.305,4.7,47,10000,243.2,1.79,0.9490,0.1632,0.3066,0.0000,0.0256,0.0509
8259,4,2.14,0.25,0.104,0.266,0.0244,0.154,3.7,60,200000,159.6,1.20,0.4447,0.0983,0.3115,0.0081,0.0172,0.0909
1062,7,2.13,0.40,0.190,0.503,0.0216,0.225,1.5,41,100000,257.3,1.25,0.7683,0.1537,0.4341,0.0008,0.0199,0.0790
6874,6,4.12,0.39,0.175,0.590,0.0121,0.100,6.5,35,100000,271.9,1.82,0.4646,0.0926,0.1067,0.0000,0.0116,0.0041
